app,file_path,mock_type,target_phase,description
quantai,apps/quantai/src/app/page.tsx,hardcoded_array,phase-23,Mock AI chat messages
quantchat,apps/quantchat/src/app/page.tsx,hardcoded_array,phase-23,Mock conversation list
quantchat,apps/quantchat/src/app/chat/[id]/page.tsx,hardcoded_array,phase-23,Mock chat messages
quantmail,apps/quantmail/src/app/page.tsx,hardcoded_array,phase-23,Mock email inbox
quantedits,apps/quantedits/src/pages/assets.tsx,generated_array,phase-23,Mock asset library
quantedits,apps/quantedits/src/pages/editor.tsx,hardcoded_array,phase-23,Mock timeline tracks
quantedits,apps/quantedits/src/pages/index.tsx,generated_array,phase-23,Mock project cards
quantedits,apps/quantedits/src/pages/projects.tsx,generated_array,phase-23,Mock project list
quantedits,apps/quantedits/src/pages/templates.tsx,generated_array,phase-23,Mock template gallery
quantmax,apps/quantmax/src/pages/challenges.tsx,generated_array,phase-23,Mock challenges and leaderboard
quantmax,apps/quantmax/src/pages/create.tsx,generated_array,phase-23,Mock effects and sounds
quantmax,apps/quantmax/src/pages/group-rooms.tsx,generated_array,phase-23,Mock group video rooms
quantmax,apps/quantmax/src/pages/index.tsx,generated_array,phase-23,Mock video feed and comments
quantmax,apps/quantmax/src/pages/live.tsx,generated_array,phase-23,Mock live stream gifters
quantmax,apps/quantmax/src/pages/matches.tsx,generated_array,phase-23,Mock match conversations
quantmax,apps/quantmax/src/pages/matching.tsx,generated_array,phase-23,Mock dating profiles
quantmax,apps/quantmax/src/pages/nearby.tsx,generated_array,phase-23,Mock nearby people and waves
quantneon,apps/quantneon/src/pages/broadcast.tsx,hardcoded_array,phase-23,MOCK_CHANNELS + MOCK_MESSAGES; no broadcast backend exists
quantneon,apps/quantneon/src/pages/collab.tsx,hardcoded_array,phase-23,MOCK_COLLABS + MOCK_PENDING + MOCK_SEARCH; no collab backend exists
quantneon,apps/quantneon/src/pages/guides.tsx,hardcoded_array,phase-23,MOCK_GUIDES; no guides backend exists
quantneon,apps/quantneon/src/pages/highlights.tsx,hardcoded_array,phase-23,MOCK_HIGHLIGHTS + MOCK_AVAILABLE; needs story-highlight routes
quantneon,apps/quantneon/src/pages/notes.tsx,hardcoded_array,phase-23,MOCK_NOTES; no notes backend exists
quantneon,apps/quantneon/src/pages/shopping.tsx,hardcoded_array,phase-23,MOCK_CATEGORIES + MOCK_PRODUCTS; useShopping is client-only state with a simulated placeOrder
quantneon,apps/quantneon/src/pages/explore.tsx,hardcoded_array,phase-23,Partially wired: grid uses useExplore but TRENDING_TAGS is still hardcoded
quantube,apps/quantube/src/pages/index.tsx,mock_function,phase-23,generateMockVideos function
quantube,apps/quantube/src/pages/watch/[id].tsx,generated_array,phase-23,Mock comments and video data
